timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
9.00;715.18;17537.70;3.23;3.55;1.14;322.41;HBEFA3/LDV_G_EU6;0.00;7.54;moto1;169923329#1_1;86.00;16.78;!moto1!var#1;10.18;moto_motorcycle;0.00;2142.29;1051.69
9.00;42.56;32681.21;0.00;271.18;5.01;234.43;HBEFA3/HDV;0.00;13.86;truck0;169923246#1_1;77.98;57.56;!truck0!var#1;9.76;truck_truck;0.00;1566.89;688.77
9.00;19.18;11093.38;0.00;111.64;2.61;43.53;HBEFA3/HDV;0.00;4.70;truck2;-169923323_1;72.00;10.34;!truck2!var#1;1.94;truck_truck;0.00;1712.62;795.35
9.00;4.01;2794.65;0.08;0.92;0.02;213.33;HBEFA3/PC_G_EU4;0.00;1.20;veh0;169923249#1_1;64.81;106.29;!veh0!var#1;13.79;veh_passenger;0.00;2374.86;1339.10
9.00;110.37;6887.44;0.67;2.93;0.14;311.06;HBEFA3/PC_G_EU4;0.00;2.96;veh1;-225052910#1_1;68.24;39.93;!veh1!var#1;10.80;veh_passenger;0.00;1899.46;486.39
9.00;0.00;0.00;0.00;0.00;0.00;23.97;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;65.02;63.62;!veh2!var#1;14.81;veh_passenger;0.00;1966.29;295.65
9.00;137.58;4889.66;0.74;2.14;0.10;295.25;HBEFA3/PC_G_EU4;0.00;2.10;veh3;380698877#3_1;67.53;0.71;!veh3!var#1;4.70;veh_passenger;0.00;954.78;583.01
9.00;164.78;2624.72;0.81;1.20;0.07;347.66;HBEFA3/PC_G_EU4;0.00;1.13;veh4;-169923328#0_1;55.94;5.10;!veh4!var#1;0.00;veh_passenger;0.00;1341.60;1100.70
10.00;0.00;0.00;0.00;0.00;0.00;65.50;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;41.03;!bike0!var#1;5.55;bike_bicycle;0.00;1768.12;864.15
10.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;27.30;!bike1!var#1;5.15;bike_bicycle;0.00;1871.52;1267.37
10.00;0.00;0.00;0.00;0.00;0.00;25.26;Zero/default;0.00;0.00;bike2;205860388#0_1;0.00;7.21;!bike2!var#1;5.51;bike_bicycle;0.00;1942.32;244.59
10.00;27.84;13651.64;5.93;116.43;2.89;224.35;HBEFA3/Bus;0.00;5.82;bus0;169923246#1_1;73.54;23.61;!bus0!var#1;4.07;bus_bus;0.00;1593.50;710.28
10.00;366.38;10574.69;1.70;2.20;0.61;24.85;HBEFA3/LDV_G_EU6;0.00;4.55;moto0;205860388#3_1;72.17;31.11;!moto0!var#1;13.54;moto_motorcycle;0.00;2061.79;518.30
10.00;73.07;3437.55;0.36;0.80;0.12;322.41;HBEFA3/LDV_G_EU6;0.00;1.48;moto1;169923329#1_1;63.68;27.43;!moto1!var#1;10.65;moto_motorcycle;0.00;2135.78;1060.14
10.00;40.37;30771.40;0.00;255.25;4.76;246.28;HBEFA3/HDV;0.00;13.05;truck0;169923246#1_1;77.47;68.19;!truck0!var#1;10.63;truck_truck;0.00;1557.24;684.10
10.00;25.02;16439.58;0.00;151.99;3.22;43.21;HBEFA3/HDV;0.00;6.97;truck2;-169923323_1;75.26;13.49;!truck2!var#1;3.15;truck_truck;0.00;1714.76;797.65
10.00;0.00;0.00;0.00;0.00;0.00;208.72;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;64.25;120.00;!veh0!var#1;13.70;veh_passenger;0.00;2367.73;1327.53
10.00;76.93;5712.68;0.49;2.34;0.10;311.06;HBEFA3/PC_G_EU4;0.00;2.46;veh1;:1674805798_5_0;66.73;0.89;!veh1!var#1;11.93;veh_passenger;0.00;1890.46;494.23
10.00;0.00;0.00;0.00;0.00;0.00;22.73;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;64.03;78.00;!veh2!var#1;14.38;veh_passenger;0.00;1971.99;308.84
10.00;125.95;5571.37;0.71;2.41;0.11;297.49;HBEFA3/PC_G_EU4;0.00;2.39;veh3;380698877#3_1;67.47;7.40;!veh3!var#1;6.69;veh_passenger;0.00;948.85;586.09
10.00;147.54;3329.71;0.75;1.49;0.07;347.66;HBEFA3/PC_G_EU4;0.00;1.43;veh4;-169923328#0_1;64.93;6.98;!veh4!var#1;1.88;veh_passenger;0.00;1341.20;1102.54
11.00;0.00;0.00;0.00;0.00;0.00;65.50;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;46.30;!bike0!var#1;5.26;bike_bicycle;0.00;1772.95;866.35
11.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;32.46;!bike1!var#1;5.16;bike_bicycle;0.00;1874.76;1263.35
11.00;0.00;0.00;0.00;0.00;0.00;25.26;Zero/default;0.00;0.00;bike2;205860388#0_1;0.00;12.57;!bike2!var#1;5.37;bike_bicycle;0.00;1944.61;249.44
11.00;34.00;19482.09;6.68;156.85;3.57;224.35;HBEFA3/Bus;0.00;8.31;bus0;169923246#1_1;76.11;28.86;!bus0!var#1;5.25;bus_bus;0.00;1589.79;706.48
11.00;0.00;0.00;0.00;0.00;0.00;13.88;HBEFA3/LDV_G_EU6;0.00;0.00;moto0;205860388#3_1;61.43;43.55;!moto0!var#1;12.44;moto_motorcycle;0.00;2066.55;529.55
11.00;78.03;3678.05;0.39;0.85;0.13;322.41;HBEFA3/LDV_G_EU6;0.00;1.58;moto1;169923329#1_1;64.15;38.60;!moto1!var#1;11.16;moto_motorcycle;0.00;2128.96;1069.00
11.00;40.85;31262.50;0.00;258.14;4.80;246.28;HBEFA3/HDV;0.00;13.25;truck0;169923246#1_1;77.67;79.64;!truck0!var#1;11.45;truck_truck;0.00;1546.64;679.44
11.00;26.93;18227.82;0.00;164.73;3.41;41.61;HBEFA3/HDV;0.00;7.73;truck2;-169923323_1;74.92;17.71;!truck2!var#1;4.21;truck_truck;0.00;1717.51;800.84
11.00;15.20;7380.56;0.00;84.89;2.21;301.16;HBEFA3/HDV;0.00;3.13;truck3;-152907293#0_1;67.11;7.20;!truck3!var#1;0.00;truck_truck;0.00;704.53;987.90
11.00;40.92;4746.22;0.30;1.83;0.07;207.68;HBEFA3/PC_G_EU4;0.00;2.04;veh0;169923249#1_1;66.53;134.33;!veh0!var#1;14.34;veh_passenger;0.00;2361.11;1314.92
11.00;27.99;3479.27;0.21;1.28;0.04;311.06;HBEFA3/PC_G_EU4;0.00;1.50;veh1;:1674805798_5_0;64.54;13.22;!veh1!var#1;12.32;veh_passenger;0.00;1881.16;502.32
11.00;0.00;0.00;0.00;0.00;0.00;23.32;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;63.80;91.98;!veh2!var#1;13.98;veh_passenger;0.00;1977.45;321.71
11.00;102.67;5272.72;0.59;2.23;0.10;298.78;HBEFA3/PC_G_EU4;0.00;2.27;veh3;380698877#3_1;66.11;15.58;!veh3!var#1;8.18;veh_passenger;0.00;941.65;589.97
11.00;135.30;4177.16;0.71;1.83;0.09;347.66;HBEFA3/PC_G_EU4;0.00;1.80;veh4;-169923328#0_1;66.00;10.80;!veh4!var#1;3.82;veh_passenger;0.00;1340.38;1106.27
12.00;0.00;0.00;0.00;0.00;0.00;72.41;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;51.57;!bike0!var#1;5.27;bike_bicycle;0.00;1777.84;868.37
12.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;37.87;!bike1!var#1;5.42;bike_bicycle;0.00;1878.16;1259.13
12.00;0.00;0.00;0.00;0.00;0.00;25.26;Zero/default;0.00;0.00;bike2;205860388#0_1;0.00;18.00;!bike2!var#1;5.43;bike_bicycle;0.00;1946.93;254.35
12.00;29.44;15817.96;6.20;130.07;3.09;224.35;HBEFA3/Bus;0.00;6.75;bus0;169923246#1_1;73.69;34.78;!bus0!var#1;5.92;bus_bus;0.00;1585.60;702.19
12.00;0.00;0.00;0.00;0.00;0.00;342.01;HBEFA3/LDV_G_EU6;0.00;0.00;moto0;:1674805793_0_0;52.55;3.34;!moto0!var#1;7.06;moto_motorcycle;0.00;2065.84;536.43
12.00;0.00;0.00;0.00;0.00;0.00;322.41;HBEFA3/LDV_G_EU6;0.00;0.00;moto1;169923329#1_1;61.16;49.32;!moto1!var#1;10.72;moto_motorcycle;0.00;2122.41;1077.51
12.00;50.77;40259.63;0.00;327.16;5.86;255.74;HBEFA3/HDV;0.00;17.07;truck0;169923246#1_1;79.67;92.17;!truck0!var#1;12.53;truck_truck;0.00;1534.64;675.50
12.00;27.56;18860.17;0.00;168.63;3.46;40.83;HBEFA3/HDV;0.00;8.00;truck2;-169923323_1;74.47;22.81;!truck2!var#1;5.11;truck_truck;0.00;1720.84;804.70
12.00;17.83;9818.18;0.00;102.77;2.48;301.16;HBEFA3/HDV;0.00;4.16;truck3;-152907293#0_1;73.09;8.20;!truck3!var#1;1.00;truck_truck;0.00;703.68;988.41
12.00;7.68;3188.87;0.11;1.09;0.03;207.68;HBEFA3/PC_G_EU4;0.00;1.37;veh0;169923249#1_1;65.51;148.88;!veh0!var#1;14.55;veh_passenger;0.00;2354.40;1302.13
12.00;30.16;3741.11;0.22;1.39;0.05;311.07;HBEFA3/PC_G_EU4;0.00;1.61;veh1;-225052910#0_1;64.99;11.27;!veh1!var#1;12.77;veh_passenger;0.00;1871.54;510.71
12.00;22.48;3859.98;0.19;1.41;0.05;23.32;HBEFA3/PC_G_EU4;0.00;1.66;veh2;205860388#0_1;65.88;106.35;!veh2!var#1;14.37;veh_passenger;0.00;1983.13;334.90
12.00;127.50;7454.90;0.76;3.21;0.15;299.58;HBEFA3/PC_G_EU4;0.00;3.20;veh3;380698877#3_1;69.24;25.76;!veh3!var#1;10.19;veh_passenger;0.00;932.79;595.00
12.00;141.66;6073.94;0.79;2.66;0.13;347.66;HBEFA3/PC_G_EU4;0.00;2.61;veh4;-169923328#0_1;69.17;17.05;!veh4!var#1;6.25;veh_passenger;0.00;1339.05;1112.38
12.00;164.78;2624.72;0.81;1.20;0.07;299.73;HBEFA3/PC_G_EU4;0.00;1.13;veh5;-152907293#1_1;55.94;5.10;!veh5!var#1;0.00;veh_passenger;0.00;794.01;936.38
13.00;0.00;0.00;0.00;0.00;0.00;72.41;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;56.78;!bike0!var#1;5.21;bike_bicycle;0.00;1782.84;869.95
13.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;43.27;!bike1!var#1;5.40;bike_bicycle;0.00;1881.54;1254.93
13.00;0.00;0.00;0.00;0.00;0.00;25.26;Zero/default;0.00;0.00;bike2;205860388#0_1;0.00;23.34;!bike2!var#1;5.34;bike_bicycle;0.00;1949.21;259.18
13.00;0.00;0.00;0.00;0.00;0.00;170.18;Zero/default;0.00;0.00;bike3;380698884#1_2;0.00;1.70;!bike3!var#1;0.00;bike_bicycle;0.00;1062.41;908.29
13.00;33.96;20105.52;6.76;159.78;3.58;229.89;HBEFA3/Bus;0.00;8.57;bus0;169923246#1_1;75.36;41.60;!bus0!var#1;6.81;bus_bus;0.00;1580.02;698.16
13.00;76.23;2497.58;0.33;0.61;0.10;312.65;HBEFA3/LDV_G_EU6;0.00;1.07;moto0;-155035525#2_1;61.17;5.03;!moto0!var#1;7.41;moto_motorcycle;0.00;2060.72;541.73
13.00;0.00;0.00;0.00;0.00;0.00;322.41;HBEFA3/LDV_G_EU6;0.00;0.00;moto1;169923329#1_1;57.92;58.61;!moto1!var#1;9.30;moto_motorcycle;0.00;2116.73;1084.88
13.00;60.34;48964.92;0.00;393.68;6.87;264.24;HBEFA3/HDV;0.00;20.76;truck0;169923246#1_1;81.42;105.99;!truck0!var#1;13.82;truck_truck;0.00;1520.88;673.30
13.00;35.99;26537.16;0.00;227.11;4.36;40.83;HBEFA3/HDV;0.00;11.25;truck2;-169923323_1;77.22;29.20;!truck2!var#1;6.39;truck_truck;0.00;1725.01;809.52
13.00;18.68;10631.25;0.00;108.29;2.56;301.16;HBEFA3/HDV;0.00;4.51;truck3;-152907293#0_1;71.84;9.91;!truck3!var#1;1.71;truck_truck;0.00;702.21;989.30
13.00;0.00;0.00;0.00;0.00;0.00;207.68;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;63.43;162.83;!veh0!var#1;13.95;veh_passenger;0.00;2347.96;1289.86
13.00;0.00;0.00;0.00;0.00;0.00;311.07;HBEFA3/PC_G_EU4;0.00;0.00;veh1;-225052910#0_1;62.51;23.62;!veh1!var#1;12.35;veh_passenger;0.00;1862.23;518.83
13.00;0.00;0.00;0.00;0.00;0.00;23.54;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;64.76;120.67;!veh2!var#1;14.32;veh_passenger;0.00;1988.82;348.04
13.00;99.11;6690.88;0.61;2.81;0.13;299.58;HBEFA3/PC_G_EU4;0.00;2.88;veh3;380698877#3_1;67.90;37.44;!veh3!var#1;11.67;veh_passenger;0.00;922.64;600.76
